,Artist,Rank,Song1,Year
512,The Crystals,263,Uptown,1962
513,Don McLean,264,American Pie - Part I,1971
514,Jay And The Techniques,265,"Apples, Peaches, Pumpkin Pie",1967
515,Billy Joe Royal,266,Down In The Boondocks,1965
516,Bobby Darin,267,Dream Lover,1959
517,The Beach Boys,268,"Fun, Fun, Fun",1964
518,The Union Gap Featuring Gary Puckett,269,Young Girl,1968
519,Brenda Lee,270,I'm Sorry,1960
520,Ray Peterson,271,Tell Laura I Love Her,1960
521,The Vogues,272,"Turn Around, Look At Me",1968
522,The Clovers,273,Love Potion No. 9,1959
523,Rod Stewart,274,Reason To Believe,1971
524,The Channels,275,That's My Desire,1957
525,Gene Pitney,276,Town Without Pity,1961
526,Elvis Presley With The Jordanaires,277,Loving You,1957
527,Neil Sedaka,278,Next Door To An Angel,1962
528,The 5th Dimension,279,Medle,1969
529,Merrilee Rush And The Turnabouts,280,Angel Of The Morning,1968
530,The Orlons,281,The Conservative,1962
531,Huey Smith And The Clowns,282,Rocking Pneumonia And The Boogie Woogie Flu (Part 1),1957
532,The Ventures,283,Walk – Don't Run,1960
533,Bobby Vee,284,Take Good Care Of My Baby,1961
534,The Coasters,285,Poison Ivy,1959
535,U.S. Bonds,286,Quarter To Three,1961
536,Freda Payne,287,Band Of Gold,1970
537,Classics IV Featuring Dennis Yost,288,Traces,1969
538,Elvis Presley,289,The Wonder Of You,1970
539,The Union Gap Featuring Gary Puckett,290,"Woman, Woman",1967
540,Little Richard And His Band,291,Tutti-Frutti,1955
541,"Peter, Paul And Mary",292,Blowin' In The Wind,1963
542,The Hollies,293,Bus Stop,1966
543,The Clovers,294,Devil Or Angel,1956
544,Gene Pitney,295,It Hurts To Be In Love,1964
545,Simon And Garfunkel,296,Mrs. Robinson,1968
546,Gene McDaniels,297,A Hundred Pounds Of Clay,1961
547,Dodie Stevens,298,Pink Shoe Laces,1958
548,The Shirelles,299,Dedicated To The One I Love,1959
549,Sonny And Cher,300,I Got You Babe,1965
550,Joe Jones And His Orchestra,251,I Love You Still,1960
551,Jerry Butler And The Impressions,252,Sweet Was The Wine,1958
552,Tommy James And The Shondells,253,Some Kind Of Love,1968
553,B. J. Thomas,254,I've Been Down This Road Before,1968
554,Richard Harris,255,Didn't We,1968
555,The Jive Five,256,When I Was Single,1961
556,Ruby And The Romantics,257,Moonlight And Music,1962
557,Shirley And Lee,258,Do You Mean To Hurt Me So,1956
558,? (Question Mark) And The Mysterians,259,Midnight Hour,1966
559,Freddy Cannon,260,"June, July, And August",1962
560,Thomas Wayne With The DeLons,261,Saturday Date,1958
561,The Devotions,262,(I Love You) For Sentimental Reasons,1964
562,The Crystals,263,What A Nice Way To Turn Seventeen,1962
563,Don McLean,264,American Pie - Part II,1971
564,Jay And The Techniques,265,Stronger Than Dirt,1967
565,Billy Joe Royal,266,"Oh, What A Night",1965
566,Bobby Darin,267,Bullmoose,1959
567,The Beach Boys,268,Why Do Fools Fall In Love,1964
568,The Union Gap Featuring Gary Puckett,269,I'm Losing You,1968
569,Brenda Lee,270,Thats All You Gotta Do,1960
570,Ray Peterson,271,Wedding Day,1960
571,The Vogues,272,Then,1968
572,The Clovers,273,Stay Awhile,1959
573,Rod Stewart,274,Maggie May,1971
574,The Channels,275,Stay As You Are,1957
575,Gene Pitney,276,Air Mail Special Delivery,1961
576,Elvis Presley With The Jordanaires,277,(Let Me Be Your) Teddy Bear,1957
577,Neil Sedaka,278,I Belong To You,1962
578,The 5th Dimension,279,Aquarius / Let The Sunshine In (The Flesh Failures)B,1969
579,Merrilee Rush And The Turnabouts,280,Reap What You Sow,1968
580,The Orlons,281,Don't Hang Up,1962
581,Huey Smith And The Clowns,282,Rocking Pneumonia And The Boogie Woogie Flu (Part 2),1957
582,The Ventures,283,Home,1960
583,Bobby Vee,284,Bashful Bob,1961
584,The Coasters,285,I'm A Hog For You,1959
585,U.S. Bonds,286,Time Ole Story,1961
586,Freda Payne,287,The Easiest Way To Fall,1970
587,Classics IV Featuring Dennis Yost,288,"Mary, Mary Row Your Boat",1969
588,Elvis Presley,289,Mama Liked The Roses,1970
589,The Union Gap Featuring Gary Puckett,290,Don't Make Promises,1967
590,Little Richard And His Band,291,I'm Just A Lonely Guy,1955
591,"Peter, Paul And Mary",292,Flora,1963
592,The Hollies,293,Don't Run And Hide,1966
593,The Clovers,294,"Hey, Doll Baby",1956
594,Gene Pitney,295,Hawaii,1964
595,Simon And Garfunkel,296,Old Friends / Bookends,1968
596,Gene McDaniels,297,Come On Take A Chance,1961
597,Dodie Stevens,298,Coming Of Age,1958
598,The Shirelles,299,Look A Here Baby,1959
599,Sonny And Cher,300,It's Gonna Rain,1965
600,The Chordettes,301,Lollipop,1958
601,Chuck Berry And His Combo,302,Maybellene,1955
602,The Orioles,303,Crying In The Chapel,1953
603,Tommy James And The Shondells,304,I Think We're Alone Now,1967
604,Elvis Presley,305,"I Want You, I Need You, I Love You",1956
605,Diane Renay,306,Navy Blue,1963
606,Buddy Knox With The Rhythm Orchids,307,Party Doll,1957
607,Neil Sedaka,308,The Diary,1958
608,The Drifters,309,This Magic Moment,1960
609,Jackie Wilson,310,(Your Love Keeps Lifting Me) Higher And Higher,1967
610,Elvis Presley With The Jordanaires,311,Return To Sender,1962
611,Bobby Vinton,312,Roses Are Red (My Love),1962
612,Bobby Rydell,313,Forget Him,1963
613,Ronnie And The Hi-Lites,314,I Wish That We Were Married,1962
614,Nino And The Ebb Tides,315,Juke Box Saturday Night,1961
615,The Impalas,316,Sorry (I Ran All The Way Home),1959
616,The Earls,317,Life Is But A Dream,1961
617,Bread,318,Make It With You,1970
618,Jimmy Charles And The Revelletts,319,A Million To One,1960
619,Marty Robbins With Ray Conniff,320,A White Sport Coat (And A Pink Carnation),1957
620,Spiral Starecase,321,More Today Than Yesterday,1969
621,Jerry Butler,322,Moon River,1961
622,Little Joe And The Thrillers,323,Peanuts,1957
623,The Schoolboys [DooWop],324,Shirley,1956
624,Curtis Lee,325,Pretty Little Angel Eyes,1961
625,The Tymes,326,Wonderful! Wonderful!,1963
626,Four Tops,327,Reach Out I'll Be There,1966
627,Elvis Presley With The Jordanaires,328,Loving You,1957
628,The Velvets Featuring Virgil Johnson,329,Tonight (Could Be The Night),1961
629,The Miracles,330,The Tracks Of My Tears,1965
630,Faye Adams,331,Shake A Hand,1953
631,Neil Sedaka,332,Stairway To Heaven,1960
632,Jan And Dean,333,Baby Talk,1959
633,Barry McGuire,334,Eve Of Destruction,1965
634,Gordon Lightfoot,335,If You Could Read My Mind,1970
635,The Ray Charles Singers,336,Love Me With All Your Heart (Cuando Calienta El Sol),1964
636,The Kingsmen,337,Louie Louie,1963
637,Jay And The Americans,338,Only In America,1963
638,Creedence Clearwater Revival,339,Proud Mary,1968
639,Paul Anka,340,Puppy Love,1960
640,Chuck Berry And His Combo,341,Roll Over Beethoven,1956
641,Cher,342,Bang Bang (My Baby Shot Me Down),1966
642,"Crosby, Stills And Nash",343,Suit,1969
643,The 4 Seasons,344,Working My Way Back To You,1966
644,Marvin Gaye,345,I Heard It Through The Grapevine,1968
645,Martha And The Vandellas,346,Heat Wave,1963
646,Procol Harum,347,A Whiter Shade Of Pale,1967
647,Kalin Twins,348,Three O'Clock Thrill,1958
648,Nilsson,349,Without You,1971
649,The Collegians,350,"Zoom, Zoom, Zoom",1958
650,The Chordettes,301,"Baby, Come-A Back-A",1958
651,Chuck Berry And His Combo,302,Wee Wee Hours,1955
652,The Orioles,303,Don't You Think I Ought To Know,1953
653,Tommy James And The Shondells,304,"Gone, Gone, Gone.",1967
654,Elvis Presley,305,My Baby Left Me,1956
655,Diane Renay,306,Unbelievable Guy,1963
656,Buddy Knox With The Rhythm Orchids,307,My Baby's Gone,1957
657,Neil Sedaka,308,No Vacancy (I'm Walkin' 'Round),1958
658,The Drifters,309,Baltimore,1960
659,Jackie Wilson,310,I'm The One To Do It,1967
660,Elvis Presley With The Jordanaires,311,Where Do You Come From,1962
661,Bobby Vinton,312,You And I,1962
662,Bobby Rydell,313,"Love, Love Go Away",1963
663,Ronnie And The Hi-Lites,314,Twistin' And Kissin',1962
664,Nino And The Ebb Tides,315,(Someday) I'll Fall In Love,1961
665,The Impalas,316,"Fool, Fool, Fool",1959
666,The Earls,317,It's You,1961
667,Bread,318,Why Do You Keep Me Waiting,1970
668,Jimmy Charles And The Revelletts,319,Hop Scotch Hop,1960
669,Marty Robbins With Ray Conniff,320,Grown-Up Tears,1957
670,Spiral Starecase,321,Broken-Hearted Man,1969
671,Jerry Butler,322,Aware Of Love,1961
672,Little Joe And The Thrillers,323,Lilly Lou,1957
673,The Schoolboys [DooWop],324,Please Say You Want Me,1956
674,Curtis Lee,325,Gee How I Wish You Were Here,1961
675,The Tymes,326,Come With Me To The Sea,1963
676,Four Tops,327,Until You Love Someone,1966
677,Elvis Presley With The Jordanaires,328,(Let Me Be Your) Teddy Bear,1957
678,The Velvets Featuring Virgil Johnson,329,Spring Fever,1961
679,The Miracles,330,Fork In The Road,1965
680,Faye Adams,331,I've Gotta Leave You,1953
681,Neil Sedaka,332,Forty Winks Away,1960
682,Jan And Dean,333,"Jeanette, Get Your Hair Done",1959
683,Barry McGuire,334,What Exactly's The Matter With Me,1965
684,Gordon Lightfoot,335,Poor Little Allison,1970
685,The Ray Charles Singers,336,Sweet Little Mountain Bird,1964
686,The Kingsmen,337,Haunted Castle,1963
687,Jay And The Americans,338,My Clair De Lune,1963
688,Creedence Clearwater Revival,339,Born On The Bayou,1968
689,Paul Anka,340,Adam And Eve,1960
690,Chuck Berry And His Combo,341,Drifting Heart,1956
691,Cher,342,Our Day Will Come,1966
692,"Crosby, Stills And Nash",343,Judy Blue EyesB,1969
693,The 4 Seasons,344,Too Many Memories,1966
694,Marvin Gaye,345,You're What's Happening (In The World Today),1968
695,Martha And The Vandellas,346,A Love Like Yours (Don't Come Knocking Everyday),1963
696,Procol Harum,347,Lime Street Blues,1967
697,Kalin Twins,348,When,1958
698,Nilsson,349,Gotta Get Up,1971
699,The Collegians,350,On Your Merry Way,1958
700,The Tornadoes,351,Telstar,1962
701,Connie Francis,352,Stupid Cupid,1958
702,Jimmy Gilmer And The Fireballs,353,Sugar Shack,1963
703,Elvis Presley With The Jordanaires,354,Are You Lonesome To-night?,1960
704,The Playmates,355,Beep Beep,1958
705,Pony-Tails,356,Born Too Late,1958
706,James Taylor,357,Fire And Rain,1970
707,The Moody Blues,358,Go Now!,1965
708,Little Anthony And The Imperials,359,Goin' Out Of My Head,1964
709,The Flares,360,Foot Stomping - Part 1The Ramrocks,1961
710,Jay And The Americans,361,Let's Lock The Door (And Throw Away The Key),1964
711,The Joe Jeffrey Group,362,My Pledge Of Love,1969
712,The Marvelettes,363,Playboy,1962
713,Aretha Franklin,364,Respect,1967
714,The Honeycombs,365,Have I The Right?,1964
715,Zager And Evans,366,In The Year 2525 (Exordium & Terminus),1969
716,Tommy Edwards,367,It's All In The Game,1958
717,The Crickets,368,That'll Be The Day,1957
718,Gerry And The Pacemakers,369,Don't Let The Sun Catch You Crying,1964
719,Chuck Berry,370,School Day (Ring! Ring! Goes The Bell),1957
720,Ray Charles And His Orchestra,371,What'd I Say (Part 1),1959
721,The Dave Clark Five,372,Because,1964
722,The Cookies,373,Don't Say Nothin' Bad (About My Baby),1963
723,Sly And The Family Stone,374,Everyday People,1968
724,The Animals,375,The House Of The Rising Sun,1964
725,Little Anthony And The Imperials,376,Hurt So Bad,1964
726,The Beatles,377,Yellow Submarine,1966
727,The Platters,378,(You've Got) The Magic Touch,1956
728,Kai Winding And Orchestra,379,More,1963
729,The Beatles,380,Love Me Do,1963
730,The Five Keys,381,"Out Of Sight, Out Of Mind",1956
731,The Jarmels,382,A Little Bit Of Soap,1961
732,The Jacks,383,Why Don't You Write Me?,1955
733,Fats Domino,384,Ain't It A Shame,1955
734,The Angels,385,I Adore Him,1963
735,Ricky Nelson,386,Travelin' Man,1961
736,The Corsairs,387,Smoky Places,1961
737,Chuck Jackson,388,Any Day Now (My Wild Beautiful Bird),1962
738,The Capitols,389,Cool Jerk,1966
739,Lee Michaels,390,Keep The Circle Turning,1971
740,The Contours,391,Do You Love Me,1962
741,Marty Robbins,392,El Paso,1959
742,Chubby Checker,393,The Fly,1961
743,Jessie Belvin,394,Goodnight My Love (Pleasant Dreams),1956
744,The Beatles,395,A Hard Day's Night,1964
745,Sam Cooke,396,You Send Me,1957
746,Harold Dorman,397,Mountain Of Love,1960
747,Jerry Keller,398,Here Comes Summer,1959
748,Timi Yuro,399,Hurt,1961
749,The Five Keys,400,"Ling, Ting, Tong",1954
750,The Tornadoes,351,Jungle Fever,1962
751,Connie Francis,352,Carolina Moon,1958
752,Jimmy Gilmer And The Fireballs,353,My Heart Is Free,1963
753,Elvis Presley With The Jordanaires,354,I Gotta Know,1960
754,The Playmates,355,Your Love,1958
755,Pony-Tails,356,Come On Joey Dance With Me,1958
756,James Taylor,357,Anywhere Like Heaven,1970
757,The Moody Blues,358,Lose Your Money,1965
758,Little Anthony And The Imperials,359,Make It Easy On Yourself,1964
759,The Flares,360,Foot Stomping - Part 2,1961
760,Jay And The Americans,361,I'll Remember You,1964
761,The Joe Jeffrey Group,362,Margie,1969
762,The Marvelettes,363,All The Love I've Got,1962
763,Aretha Franklin,364,Dr. Feelgood,1967
764,The Honeycombs,365,Please Don't Pretend Again,1964
765,Zager And Evans,366,Little Kids,1969
766,Tommy Edwards,367,Please Love Me Forever,1958
767,The Crickets,368,I'm Lookin' For Someone To Love,1957
768,Gerry And The Pacemakers,369,Away From You,1964
769,Chuck Berry,370,Deep Feeling,1957
770,Ray Charles And His Orchestra,371,What'd I Say (Part 2),1959
771,The Dave Clark Five,372,Theme Without A Name,1964
772,The Cookies,373,Softly In The Night,1963
773,Sly And The Family Stone,374,Sing A Simple Song,1968
774,The Animals,375,Talkin' 'Bout You,1964
775,Little Anthony And The Imperials,376,Reputation,1964
776,The Beatles,377,Eleanor Rigby,1966
777,The Platters,378,Winner Take All,1956
778,Kai Winding And Orchestra,379,Comin' Home Baby,1963
779,The Beatles,380,P. S. I Love You,1963
780,The Five Keys,381,That's Right,1956
781,The Jarmels,382,The Way You Look Tonight (Swing Time),1961
782,The Jacks,383,My Darling,1955
783,Fats Domino,384,La-La,1955
784,The Angels,385,Thank You And Goodnight,1963
785,Ricky Nelson,386,Hello Mary Lou,1961
786,The Corsairs,387,Thinkin' (Maybe She's Changed Her Ways),1961
787,Chuck Jackson,388,The Prophet,1962
788,The Capitols,389,Hello Stranger,1966
789,Lee Michaels,390,Do You Know What I Mean,1971
790,The Contours,391,Move Mr. Man,1962
791,Marty Robbins,392,Running Gun,1959
792,Chubby Checker,393,That's The Way It Goes,1961
793,Jessie Belvin,394,I Want You With Me Xmas,1956
794,The Beatles,395,I Should Have Known Better,1964
795,Sam Cooke,396,Summertime,1957
796,Harold Dorman,397,To Be With You,1960
797,Jerry Keller,398,Time Has A Way,1959
798,Timi Yuro,399,I Apologize,1961
799,The Five Keys,400,I'm Alone,1954
800,The Coasters,401,Yakety Yak,1958
801,The Beatles,402,Love Me Do,1964
802,The Miracles,403,Ooo Baby Baby,1965
803,The Beatles,404,All My Loving,1964
804,Gene Vincent And His Blue Caps,405,Be-Bop-A-Lula,1956
805,The Beach Boys,406,Good Vibrations,1966
806,Eddie Holman,407,Hey There Lonely Girl,1969
807,The Zombies,408,She's Not There,1964
808,The Grass Roots,409,Sooner Or Later,1971
809,Robin Luke,410,Susie Darlin',1958
810,The Happenings,411,I Got Rhythm,1967
811,J. Frank Wilson And The Cavaliers,412,Last Kiss,1964
812,Ketty Lester,413,Love Letters,1962
813,"Bobby ""Boris"" Pickett And The Crypt-Kickers",414,Monster Mash,1962
814,The Bobbettes,415,Mr. Lee,1957
815,Mary Wells,416,My Guy,1964
816,Johnny Tillotson,417,Poetry In Motion,1960
817,The Murmaids,418,Popsicles And IciclesThe Murmaids Band,1963
818,Jackie DeShannon,419,Put A Little Love In Your Heart,1969
819,Duane Eddy And The Rebels,420,Because They're Young,1960
820,Sonny James (The Southern Gentleman),421,Young Love,1956
821,Billy Stewart,422,I Do Love You,1965
822,Skeeter Davis,423,I Can't Stay Mad At You,1963
823,Herman's Hermits,424,There's A Kind Of Hush,1967
824,Debbie Reynolds,425,Tammy,1957
825,The Classics [Brooklyn],426,Till Then,1963
826,The 3 Friends,427,Blanche,1956
827,The Rolling Stones,428,Honky Tonk Women,1969
828,Diana Ross And The Supremes,429,Someday We'll Be Together,1969
829,Carpenters,430,We've Only Just Begun,1970
830,The 4 Seasons,431,Big Man In Town,1964
831,Cat Stevens,432,Wild World,1971
832,Frankie Avalon,433,Bobby Sox To Stockings,1959
833,The 4 Seasons,434,Save It For Me,1964
834,Johnny Mathis,435,Chances Are,1957
835,The Supremes,436,Stop! In The Name Of Love,1965
836,Hollies,437,"He Ain't Heavy, He's My Brother",1969
837,Jimmie Rodgers,438,Honeycomb,1957
838,The Sensations [Philadelphia],439,Let Me In,1961
839,Diana Ross And The Supremes,440,Love Child,1968
840,Mary Hopkin,441,Those Were The Days,1968
841,Sam Cooke,442,Another Saturday Night,1963
842,The Buffalo Springfield,443,"For What It's Worth (Stop, Hey What's That Sound)",1966
843,The Beatles,444,Can't Buy Me Love,1964
844,Four Tops,445,I Can't Help Myself,1965
845,The Rascals,446,A Beautiful Morning,1968
846,The Shirelles,447,Baby It's You,1961
847,Patti La Belle And The Blue Belles,448,Down The Aisle (Wedding Song),1963
848,The Marcels,449,Heartaches,1961
849,Skeeter Davis,450,The End Of The World,1962
850,The Coasters,401,Zing! Went The Strings Of My Heart,1958
851,The Beatles,402,P.S. I Love You,1964
852,The Miracles,403,All That's Good,1965
853,The Beatles,404,This Boy,1964
854,Gene Vincent And His Blue Caps,405,Woman Love,1956
855,The Beach Boys,406,Let's Go Away For Awhile,1966
856,Eddie Holman,407,It's All In The Game,1969
857,The Zombies,408,You Make Me Feel So Good,1964
858,The Grass Roots,409,I Can Turn Off The Rain,1971
859,Robin Luke,410,Living's Loving You,1958
860,The Happenings,411,You're In A Bad Way,1967
861,J. Frank Wilson And The Cavaliers,412,That's How Much I Love You,1964
862,Ketty Lester,413,I'm A Fool To Want You,1962
863,"Bobby ""Boris"" Pickett And The Crypt-Kickers",414,Monsters' Mash Party,1962
864,The Bobbettes,415,Look At The Stars,1957
865,Mary Wells,416,Oh Little Boy (What Did You Do To Me),1964
866,Johnny Tillotson,417,"Princess, Princess",1960
867,The Murmaids,418,Huntington Flats,1963
868,Jackie DeShannon,419,Always Together,1969
869,Duane Eddy And The Rebels,420,Rebel Walk,1960
870,Sonny James (The Southern Gentleman),421,You're The Reason I'm In Love,1956
871,Billy Stewart,422,Keep Loving,1965
872,Skeeter Davis,423,It Was Only A Heart,1963
873,Herman's Hermits,424,No Milk Today,1967
874,Debbie Reynolds,425,French Heels,1957
875,The Classics [Brooklyn],426,Enie Minie Mo,1963
876,The 3 Friends,427,Baby I'll Cry,1956
877,The Rolling Stones,428,You Can't Always Get What You Want,1969
878,Diana Ross And The Supremes,429,He's My Sunny Boy,1969
879,Carpenters,430,All Of My Life,1970
880,The 4 Seasons,431,Little Angel,1964
881,Cat Stevens,432,Miles From Nowhere,1971
882,Frankie Avalon,433,A Boy Without A Girl,1959
883,The 4 Seasons,434,Funny Face,1964
884,Johnny Mathis,435,The Twelfth Of Never,1957
885,The Supremes,436,I'm In Love Again,1965
886,Hollies,437,Cos You Like To Love Me,1969
887,Jimmie Rodgers,438,Their Hearts Were Full Of Spring,1957
888,The Sensations [Philadelphia],439,Oh Yes I'll Be True,1961
889,Diana Ross And The Supremes,440,Will This Be The Day,1968
890,Mary Hopkin,441,"Turn, Turn, Turn",1968
891,Sam Cooke,442,Love Will Find A Way,1963
892,The Buffalo Springfield,443,Do I Have To Come Right Out And Say It,1966
893,The Beatles,444,You Can't Do That,1964
894,Four Tops,445,Sad Souvenirs,1965
895,The Rascals,446,Rainy Day,1968
896,The Shirelles,447,The Things I Want To Hear (Pretty Words),1961
897,Patti La Belle And The Blue Belles,448,C'est La Vie (So Goes Life),1963
898,The Marcels,449,My Love For You,1961
899,Skeeter Davis,450,Somebody Loves You,1962
900,The Byrds,451,Mr. Tambourine Man,1965
901,Don Julian And The Meadowlarks,452,Heaven And Paradise,1955
902,Gary Lewis And The Playboys,453,Everybody Loves A Clown,1965
903,The Chantels,454,He's Gone,1957
904,John Ono Lennon (With The Plastic Ono Band),455,Instant Karma (We All Shine On)Yoko Ono Lennon (With The Plastic Ono Band),1970
905,The Left Banke,456,Walk Away Renee,1966
906,Jackie Wilson,457,Lonely Teardrops,1958
907,James Taylor,458,You've Got A Friend,1971
908,The Beatles With Billy Preston,459,Get Back,1969
909,The Duprees,460,My Own True Love,1962
910,The Association,461,Windy,1967
911,Jimmy Jones,462,Handy Man,1959
912,The Demensions,463,Over The Rainbow,1960
913,Bobby Vee,464,Rubber Ball,1960
914,The Flamingos,465,I'll Be Home,1956
915,The El Dorados,466,At My Front Door,1955
916,Glen Campbell,467,By The Time I Get To Phoenix,1967
917,The Eternals,468,Babalu's Wedding Day,1959
918,Clarence Henry,469,But I Do,1961
919,Otis Redding,470,(Sittin' On) The Dock Of The Bay,1968
920,Connie Stevens,471,Sixteen Reasons,1959
921,The Beatles,472,Something,1969
922,Bobby Freeman,473,Do You Want To Dance,1958
923,Chad Stuart And Jeremy Clyde,474,A Summer Song,1964
924,Bobby Hebb,475,Sunny,1966
925,Smokey Robinson And The Miracles,476,The Tears Of A Clown,1970
926,Robin Ward,477,Wonderful Summer,1963
927,The Dave Clark Five,478,Glad All Over,1963
928,Lesley Gore,479,She's A Fool,1963
929,Royal Teens,480,Short Shorts,1958
930,Ben E. King,481,Spanish Harlem,1960
931,Brenda Lee,482,I Want To Be Wanted,1960
932,Neil Diamond,483,Sweet Caroline (Good Times Never Seemed So Good),1969
933,The Rolling Stones,484,Get Off Of My Cloud,1965
934,The Beatles,485,Michelle,1966
935,Johnny Rivers,486,Poor Side Of Town,1966
936,Dionne Warwick,487,Anyone Who Had A Heart,1963
937,Fats Domino,488,I'm Walkin',1957
938,Bob Dylan,489,Lay Lady Lay,1969
939,The Rascals,490,People Got To Be Free,1968
940,The Coasters,491,Along Came Jones,1959
941,Frankie Lymon And The Teenagers,492,The A.B.C's Of Love,1956
942,The Rolling Stones,493,Brown Sugar,1971
943,The Paradons,494,Diamonds And Pearls,1960
944,The Exciters,495,Tell Him,1962
945,The Box Tops,496,Cry Like A Baby,1968
946,The Beatles,497,Help!,1965
947,George Harrison,498,My Sweet Lord,1970
948,The 5th Dimension,499,Up-Up And Away,1967
949,The Byrds,451,I Knew I'd Want You,1965
950,Don Julian And The Meadowlarks,452,Embarrassing Moments,1955
951,Gary Lewis And The Playboys,453,Time Stands Still,1965
952,The Chantels,454,The Plea,1957
953,John Ono Lennon (With The Plastic Ono Band),455,Who Has Seen The Wind?,1970
954,The Left Banke,456,I Haven't Got The Nerve,1966
955,Jackie Wilson,457,In The Blue Of Evening,1958
956,James Taylor,458,You Can Close Your Eyes,1971
957,The Beatles With Billy Preston,459,Don't Let Me Down,1969
958,The Duprees,460,Ginny,1962
959,The Association,461,Sometime,1967
960,Jimmy Jones,462,The Search Is Over,1959
961,The Demensions,463,Nursery Rhime Rock,1960
962,Bobby Vee,464,Everyday,1960
963,The Flamingos,465,Need Your Love,1956
964,The El Dorados,466,What's Buggin' You Baby,1955
965,Glen Campbell,467,You've Still Got A Place In My Heart,1967
966,The Eternals,468,My Girl,1959
967,Clarence Henry,469,Just My Baby And Me,1961
968,Otis Redding,470,Sweet Lorene,1968
969,Connie Stevens,471,Little Sister,1959
970,The Beatles,472,Come Together,1969
971,Bobby Freeman,473,Big Fat Woman,1958
972,Chad Stuart And Jeremy Clyde,474,No Tears For Johnnie,1964
973,Bobby Hebb,475,Bread,1966
974,Smokey Robinson And The Miracles,476,Promise Me,1970
975,Robin Ward,477,Dream Boy,1963
976,The Dave Clark Five,478,I Know You,1963
977,Lesley Gore,479,The Old Crowd,1963
978,Royal Teens,480,Planet Rock,1958
979,Ben E. King,481,First Taste Of Love,1960
980,Brenda Lee,482,Just A Little,1960
981,Neil Diamond,483,Dig In,1969
982,The Rolling Stones,484,I'm Free,1965
983,The Beatles,485,Girl,1966
984,Johnny Rivers,486,A Man Can Cry,1966
985,Dionne Warwick,487,The Love Of A Boy,1963
986,Fats Domino,488,I'm In The Mood For Love,1957
987,Bob Dylan,489,Peggy Day,1969
988,The Rascals,490,My World,1968
989,The Coasters,491,That Is Rock And Roll,1959
990,Frankie Lymon And The Teenagers,492,Share,1956
991,The Rolling Stones,493,Bitch,1971
992,The Paradons,494,I Want Love,1960
993,The Exciters,495,Hard Way To Go,1962
994,The Box Tops,496,The Door You Closed To Me,1968
995,The Beatles,497,I'm Down,1965
996,George Harrison,498,Isn't It A Pity,1970
997,The 5th Dimension,499,Which Way To Nowhere,1967
0,The Five Satins,1,In The Still Of The Nite,1956
1,The Penguins,2,Hey Senorita,1954
2,Mello-Kings,3,"Tonite, Tonite",1957
3,Elvis Presley,4,My Way,1977
4,Elvis Presley,5,Can't Help Falling In Love,1961
5,The Skyliners,6,Since I Don't Have You,1958
6,Bobby Darin,7,Mack The Knife,1959
7,Elvis Presley,8,Love Me Tender,1956
8,Bill Haley And His Comets,9,Thirteen Women (And Only One Man In Town),1954
9,The Crests,10,16 Candles,1958
10,The Beatles,11,Hey Jude,1968
11,The 4 Seasons,12,Rag Doll,1964
12,The Fidelity's,13,The Things I Love,1958
13,Jay And The Americans,14,"Cara, Mia",1965
14,Elvis Presley,15,The Wonder Of You,1970
15,John Lennon / Plastic Ono Band,16,Imagine,1971
16,The 4 Seasons,17,Sherry,1962
17,The Platters,18,The Great Pretender,1955
18,The Duprees,19,You Belong To Me,1962
19,Elvis Presley,20,Jailhouse Rock,1957
20,Frank Sinatra,21,My Way,1969
21,The Elegants,22,Little Star,1958
22,The Beatles,23,Yesterday,1965
23,Dion,24,Runaround Sue,1961
24,Elvis Presley With The Jordanaires,25,Are You Lonesome To-night?,1960
25,Dion And The Belmonts,26,A Teenager In Love,1959
26,Frank Sinatra,27,"Theme From New York, New York",1980
27,The Rolling Stones,28,(I Can't Get No) Satisfaction,1965
28,Elvis Presley,29,Don't Be Cruel,1956
29,Brooklyn Bridge,30,Worst That Could Happen,1968
30,The Dell-Vikings,31,Come Go With Me,1957
31,The Platters,32,My Prayer,1956
32,The Teenagers Featuring Frankie Lymon,33,Why Do Fools Fall In Love,1955
33,The 4 Seasons,34,Dawn (Go Away),1964
34,Fats Domino,35,Blueberry Hill,1956
35,Little Anthony And The Imperials,36,Tears On My Pillow,1958
36,Elvis Presley,37,Suspicious Minds,1969
37,The Charts,38,Deserie,1957
38,The Dubs,39,Could This Be Magic,1957
39,Don McLean,40,American Pie - Part I,1971
40,Dion,41,The Wanderer,1961
41,The Rays,42,Silhouettes,1957
42,The Beatles,43,I Want To Hold Your Hand,1963
43,The Doors,44,Light My Fire,1967
44,Diana Ross And Lionel Richie,45,Endless Love (Vocal),1981
45,Safaris,46,Image Of A Girl,1960
46,Simon And Garfunkel,47,Bridge Over Troubled Water,1970
47,Billy Ward And His Dominoes,48,Star Dust,1957
48,The Danleers,49,One Summer Night,1958
49,The Dell-Vikings,50,Whispering Bells,1957
50,The Five Satins,1,The Jones Girl,1956
51,The Penguins,2,Earth Angel,1954
52,Mello-Kings,3,Do Baby Do,1957
53,Elvis Presley,4,America,1977
54,Elvis Presley,5,Rock-A-Hula Baby,1961
55,The Skyliners,6,"One Night, One Night",1958
56,Bobby Darin,7,Was There A Call For Me,1959
57,Elvis Presley,8,Anyway You Want Me (That's How I'll Be),1956
